appearance_id,scored_flag
3598087_288233,8.688291508527021e-05
2577964_171424,0.8643585846128163
4676659_855731,0.6720945307682106
3201275_468198,0.8525019790262196
4103610_324804,0.4988884576367547
4103561_434433,0.7420058053938527
3081032_275303,4.705197374498422e-05
3844834_317806,0.8659641961981135
3912544_111455,0.436061164199666
4374212_602124,0.0002610064479353329
3394590_315283,0.019645301483902387
2578017_29594,0.8976040810981956
4373553_335631,0.4870169385648434
2604333_134883,0.5217251193424339
4646042_633850,0.48930812877182694
3588836_424051,0.00028275201974463685
3748484_336104,7.614709986873257e-05
4361517_272855,0.0004768493262461961
4645951_527966,0.3277436602785074
2382298_197157,0.11711770777965302
3420976_167722,0.8082650200829182
4625799_346483,0.6232340838904645
3840425_297212,0.5217990098650839
3580223_68983,0.5166071393861101
4109487_468332,0.07315607944805703
2223997_74615,0.09487957285847198
2844517_405176,0.000333623720333388
4090231_68980,0.32195374864231563
3462163_289651,0.23804824200762126
2765895_213980,0.535506188845412
4445429_401923,0.9773772598601338
2720887_442424,0.4566091422947417
2223966_126540,0.11707435853686368
2482157_127128,7.406933550038327e-05
2594741_69751,0.3865873828771994
2250169_38497,0.795668448321803
3080321_331089,0.0008884867269656058
2899742_255501,0.12905111996874924
2818490_316125,0.48289903994063954
3252461_409344,0.000637718614232326
4066664_289059,0.4234183242351053
2494505_46236,0.41423243686030076
2243876_33570,0.23301298416836552
4120938_334816,0.17435146312251243
3464289_51897,0.368736910411699
4261022_197747,0.2684192035890335
2332196_28973,0.00031598769914270813
3716663_85825,0.8375293490234224
3211832_238367,0.6377795885282143
4361270_557459,0.18450932879253515
2872172_8806,0.49046542187305964
3602640_419845,0.7073949420154625
3840406_708678,0.20301606931718746
3840081_170934,0.38708947743139654
3889054_104977,0.6584823002634812
4112957_188888,0.0001125047267510793
3451101_338425,0.5610511524843216
4393352_703720,0.000523735937426273
3412907_206542,0.794823068832684
4367873_591880,8.512305862450646e-05
2247088_21327,0.0013748692951566785
4103549_417575,0.31559005425379777
4129621_278654,0.57721193631792
3394608_392777,0.2920358521012553
3621548_267433,0.00016842226199457411
3860251_181410,0.0001804291353887699
2486587_234803,0.13377672783266872
4634363_957874,0.8011116214008908
2469548_92899,0.0002697534960228182
2557606_121137,0.3959553899577104
4368780_451788,0.5544148673258197
2883782_188911,0.00013468943222643244
4641461_232219,0.08107371785948084
2460763_36182,0.9430904933111233
2321178_1073,0.4111908335788811
2726775_255744,0.2971592276720626
4364495_221992,0.0003424239883331147
2289313_96788,0.13401088133869674
2289382_127826,0.9022982657313421
3851109_174915,0.6336071001781299
2897160_294808,0.7625086196351558
3201775_74861,0.412372052270777
3886312_255508,0.6507508712280738
4445438_1067225,0.24445790250848365
4648353_482102,0.3988940015958594
4095262_404842,0.13674653124545336
2865031_265625,0.3628165583743198
4393144_306462,0.15868751932521838
2470284_85213,0.0027088947284590555
4635204_187718,0.04862013524394379
2872156_57500,3.239698402923886e-05
3415336_163724,0.01929876843212929
2351931_45397,0.5454327231666244
4626024_1012534,0.07216456514268312
2244025_2587,0.00030000693587055126
3707317_65318,0.31964915525540255
2875139_152241,0.4873615802828074
3412976_44466,0.26530752586658923
3081365_111196,0.3002957110636788
4208071_388519,0.0007980386868323369
3592062_433177,0.7172834698651256
3592157_112988,0.1972148835192099
2262505_171209,0.8735988807351873
4103762_25488,0.0020504353422582436
2609677_5686,5.57660211453491e-05
4665011_491296,0.13954355852503636
4647846_295024,0.39796398240752123
2460721_48298,0.6258814295273699
2650365_130149,6.741848161851727e-05
3598300_272704,0.2293688640622288
2329443_46007,0.853178562819463
2897399_286949,7.667730906815162e-05
4367828_315211,0.0001617073027560967
2698428_126665,0.08918914733883246
2925750_119434,0.5817996307759982
2698107_86792,0.517382076300491
4361476_333241,0.8583436228030432
2330917_35748,0.29125266957453844
2222595_49589,0.28319989277286006
4095299_392757,0.15093709493789487
3840033_131225,5.212001012873098e-05
4150612_451311,0.26007053272113245
2244029_30710,0.38223723427165285
